GENE	P
MED12L	0.337214702
SSH2	0.337780903
IRF7	0.337958109
ABCB1	0.338866053
ALDH1L1	0.338938064
C1orf74	0.338974668
SBF2	0.338974668
DKKL1	0.339123583
SCN4A	0.339435126
PM20D1	0.33957115
HRC	0.340004372
ANKRD34B	0.340735576
AURKA	0.340735576
PRDM7	0.341530498
LDLRAP1	0.341713137
SYDE2	0.34187611
LILRB4	0.34187611
PEAR1	0.342307951
POP1	0.344244109
SH3BP1	0.344244109
PLA2G7	0.344531158
SLC39A12	0.344564428
MRGPRX2	0.344811327
DENND2C	0.344857929
OR52E6	0.345281437
TSPYL1	0.345991756
MTMR11	0.346133709
TMPRSS11F	0.346766503
ZNF836	0.346766503
OR52D1	0.34677179
SLC7A9	0.346782114
MDN1	0.346944448
DLG1	0.347735003
C18orf63	0.347735003
MFSD6L	0.347743585
RRP1B	0.348048327
FGFRL1	0.348720325
SH3BGR	0.349134857
QSOX1	0.349473861
GPR45	0.349473861
PSMD2	0.349473861
ARID4A	0.351284902
SECISBP2L	0.351284902
SLC29A3	0.351996363
CSMD3	0.35276156
MTHFR	0.352786013
OR51G2	0.352938452
ZNF407	0.352938452
AEBP1	0.353141997
BBS12	0.353536591
DDX20	0.353798585
OR4E2	0.354573296
PLSCR3	0.354664205
SP2	0.354664205
PLB1	0.354735016
PJA2	0.355077637
CYP4F11	0.355077637
GATA2	0.356385611
FAM26F	0.356521332
CLHC1	0.356582304
ARHGAP8,PRR5-ARHGAP8	0.357494776
ACP1	0.358040209
ALG9	0.358040209
PGR	0.358102679
TLR5	0.358304313
AKAP12	0.358790812
ARSB	0.358878583
COL7A1	0.35981542
GPR137C	0.360027515
ARHGEF15	0.360532794
ALDH3A1	0.360838291
ZNF211	0.361523844
ZNF774	0.362326915
DZIP1	0.362543679
EPSTI1	0.362543679
SPRY2	0.362543679
FRAS1	0.362934267
KIF3A	0.363227962
NKAIN4	0.364041817
WBP1L	0.364052771
OR4C6	0.364297742
ENDOV	0.364297742
UGT1A6	0.364682768
PAXIP1	0.36526795
PGLYRP4	0.366623319
SNED1	0.366623319
GRK7	0.366623319
PRSS12	0.366623319
FAM171A1	0.366623319
TAT	0.366623319
KRTAP16-1	0.367207091
PIGZ	0.367247338
PADI4	0.367507698
HYAL3	0.367507698
FAM160B1	0.367507698
STX2	0.367796808
TAP1	0.368314579
SASH1	0.368530058
TMPRSS15	0.368547127
CHD8	0.369144501
COL24A1	0.369790586
DHTKD1	0.369813051
TTN	0.369813257
ANKRD6	0.370001572
ARHGAP18	0.370001572
MKI67	0.371085278
SEC23A	0.37168431
TADA2A	0.37168431
TRPM3	0.371738022
HFM1	0.3720473
MUC15	0.37229808
ANXA10	0.372379801
NYNRIN	0.372697628
CEP85	0.373048124
JAKMIP3	0.373048124
NEB	0.373235014
RFX2	0.373980238
MYOM3	0.374155462
ZNF568	0.374155462
MRPL23	0.37503706
SPTA1	0.375141085
C7	0.375584548
KIAA0408	0.375589537
COL12A1	0.376047735
MS4A6A	0.376797483
ZNF177,ZNF559-ZNF177	0.376873793
PKHD1L1	0.377580451
PRRC2C	0.377840542
SCN10A	0.377895817
PLK4	0.378296778
FECH	0.378372908
HSBP1L1	0.378372908
SLFN11	0.378473864
ARFGAP3	0.378473864
MICALCL	0.379046319
MYLK3	0.379442853
EPS8L1	0.379630228
AP3D1	0.380034519
TRAPPC10	0.380034519
ICE1	0.381294491
PODXL	0.381365426
RICTOR	0.381370076
TSPAN8	0.381370076
TMEM159	0.3816932
LAMA4	0.381943995
HSPA4L	0.382043722
KCTD18	0.382522646
TATDN2	0.382655071
OR8H1	0.383345164
OR2T6	0.383541933
PHF14	0.383541933
XYLB	0.384290907
KIF14	0.3845828
MYBPC3	0.384994219
HAUS8	0.386510775
TRPT1	0.386639108
OR8G2	0.387285873
PGM3	0.387457299
WSCD2	0.387457299
TLR3	0.387796206
C1orf127	0.388279842
AMACR	0.388313431
ACBD3	0.389081715
NAGPA	0.390279239
STXBP4	0.390332423
RFPL3	0.390631753
CLPSL2	0.391027313
NMB	0.391289746
NDC80	0.391289746
PITRM1	0.391652912
C16orf95	0.391775275
NADSYN1	0.392246537
SIX4	0.392246537
CFAP74	0.393531097
RECQL4	0.393581417
OR4A15	0.39415851
COMMD2	0.394224264
SLC22A1	0.394224264
GSTO2	0.39476596
ALDH4A1	0.394801417
FBXO30	0.394867114
PYDC2	0.395113684
DNAJA3	0.395113684
MACF1	0.395575072
RFPL2	0.395851633
ERBB2IP	0.39642152
CR2	0.397007688
PLEKHM2	0.397022388
FSCB	0.397022388
PARP15	0.398037527
NEFH	0.398037527
OR4A16	0.398173029
SIGLEC1	0.398173029
INO80D	0.398501526
STK11IP	0.398501526
TECTA	0.398724198
MYCBPAP	0.398753504
SIGLEC12	0.398753504
DAPL1	0.39881397
DHX37	0.399354066
ARHGEF4	0.399649447
NOSTRIN	0.399649447
DMKN	0.399881283
ZNF30	0.399914595
EP300	0.400833124
PSMG4	0.401257289
ZFPM2	0.401257289
ZNF468	0.401257289
KRTAP12-1	0.401257289
GFRA2	0.401295455
CPO	0.401656569
HAS1	0.401784397
CHRD	0.402861064
HYI	0.403725599
PRR5	0.404471312
ACTL8	0.404509201
IMPG1	0.405151891
PDE6C	0.405216872
ZNF667	0.405722586
CHST15	0.406532121
OR1N2	0.406759021
TULP1	0.407079817
DBX2	0.407079817
BRIP1	0.407079817
LY6G6F	0.407648082
REPS1	0.407648082
GANC	0.407648082
COL18A1	0.407648082
GUF1	0.408197541
MTPAP	0.408427115
HPSE2	0.408627915
TPCN2	0.40908812
PRR16	0.409235684
MUC12	0.40937372
EMR1	0.410371454
MEPE	0.410819266
ARMC3	0.410819266
SLC9C1	0.410952684
STOX1	0.41191968
SYT6	0.412398839
GIMAP4	0.412398839
COQ7	0.412663593
OR8D4	0.412696507
SLC16A1	0.412861922
ZKSCAN7	0.412861922
FUT2	0.413277821
CCDC149	0.413974412
SCP2D1	0.413974412
SERPINB5	0.414697347
KRT4	0.415545995
LGMN	0.415545995
CRNKL1	0.415603253
PLEKHA4	0.41598301
OR11G2	0.416184648
C20orf194	0.417113596
COQ3	0.417123285
RIOK2	0.417793303
FAM83E	0.417865833
LRRC18	0.417865917
MARVELD2	0.417928903
DHODH	0.417928903
TMEM104	0.418608356
C21orf58	0.418608356
HRNR	0.418677226
TMED5	0.419350602
TMEM173	0.420236893
FAM179A	0.420468772
HEATR5A	0.421207612
BTN3A2	0.42334438
MDC1	0.42334438
PNO1	0.42379989
EPCAM	0.424414918
CYB5RL	0.425281341
ANKRD11	0.425371759
CATSPERD	0.425371759
SLC36A3	0.426021749
NBEAL2	0.426436131
FAHD1	0.426436131
FANCA	0.426437686
ZNF615	0.427241776
CCDC67	0.427501919
PCDHB4	0.42797613
C17orf102	0.42797613
PNMAL2	0.42797613
DSG2	0.428175798
SERPINA3	0.428395052
ABCA7	0.428976456
FSD2	0.429512223
CUX1	0.429542962
POM121L12	0.429557847
EFHD1	0.429720529
POM121L2	0.430041854
ZNF544	0.430183621
ACKR2	0.430459619
CSMD2	0.43068759
C1orf162	0.430973883
ZNF474	0.430973883
B3GNT4	0.430973883
PSKH2	0.431198481
KRT37	0.431301931
ANK3	0.431905241
SLC22A10	0.432105101
SMTNL1	0.432105101
MUC13	0.432464569
FAM170B	0.432675519
COL6A2	0.433045859
ZNF502	0.435370799
CACNA1C	0.435617723
SLC27A5	0.435617723
CHST13	0.435623912
SIM2	0.435626784
PCDHGA7	0.435945694
OR10A2	0.437695335
ANKRD62	0.437837711
ADAD2	0.438405737
KIAA1804	0.43864728
KLC2	0.43864728
EDEM3	0.439310433
PRR15	0.439310433
IGSF5	0.439310433
VEPH1	0.439331629
TBRG4	0.440156292
CTC1	0.440156292
ZNF268	0.440422047
CA6	0.440629448
EYS	0.441241127
THEMIS2	0.44151763
EXPH5	0.441598367
SPATS1	0.44210512
DPP6	0.44210512
CSMD1	0.44210512
OR12D2	0.442977686
NFATC1	0.443504432
RPS6KL1	0.44372252
TG	0.444011694
PLEKHG2	0.444583712
LIG4	0.444660377
MCPH1	0.444665795
GPR98	0.445078311
EXO5	0.445191138
ZNF641	0.445191138
GOLGA5	0.445793241
TMEM44	0.445826985
ADAMTS19	0.446154118
UMODL1	0.447077279
ADAMTS16	0.447445743
GFRAL	0.447445743
TPSG1	0.447620533
TAS2R41	0.447633024
SLC22A25	0.448083567
GALNT8	0.448083567
POLQ	0.448857995
PLET1	0.449469927
CIITA	0.449469927
SPTBN4	0.449889661
CEACAM20	0.450289477
BCAN	0.450322823
DROSHA	0.45046984
SLC5A9	0.450612605
NMUR2	0.450612605
AIF1L	0.450612605
USP8	0.450612605
L1TD1	0.451054818
WDR38	0.45127083
CXCL16	0.45127083
TRPM5	0.45196624
ADAMTS17	0.452210045
C2orf16	0.453369896
TKTL2	0.453566075
HIF3A	0.453566075
SEMG2	0.453566075
CYP4F12	0.453595669
MYH11	0.454049454
KIAA0753	0.454049653
OGDHL	0.45503718
GPR35	0.455087716
PCSK5	0.455327224
SPZ1	0.455440825
SURF6	0.455440825
BMP4	0.455727553
THEM5	0.456504545
SART3	0.456504545
PYGB	0.456504545
SOD2	0.456847979
PEX6	0.456999678
CTH	0.457699812
ZNF438	0.457968177
FUT8	0.457968177
FAM205A	0.458006821
GOLGA1	0.458271239
GDPD5	0.45861054
LAMB1	0.459087813
FNDC3B	0.459165389
ZNF184	0.459816314
DEGS2	0.460429742
CTNNA3	0.460544512
ARVCF	0.460544512
ADAMTS7	0.460812625
TMEM116	0.460884281
CDX2	0.460884281
VPREB1	0.460884281
SPATA31E1	0.461434
MFF	0.461999991
PCDHGB3	0.462082429
CEP89	0.462082429
KLHL31	0.462336771
MYO9B	0.462717104
DHX57	0.46272727
C2CD3	0.463454238
MTERF1	0.463796751
EIF5B	0.464620204
CPA4	0.464620204
CYP4B1	0.465230669
TMCO3	0.465230669
IL27RA	0.465230669
C6orf15	0.466081
TDRD5	0.46652189
ASTN1	0.466672096
KIAA0556	0.466672096
PXDNL	0.466773056
C15orf40	0.467155464
KLHDC9	0.467676179
NUF2	0.468109853
ZBTB5	0.468109853
DBN1	0.469055209
TMEM17	0.469543949
TAS2R1	0.469543949
MRPS31	0.469543949
PTTG2	0.469688126
AASDH	0.470320875
HSDL1	0.470380899
ZNF543	0.470953456
AQPEP	0.470974392
BCAM	0.471280916
WDR72	0.471503757
WFDC1	0.472180151
ZNRF4	0.472466458
ATG2B	0.473482061
SH2D7	0.473482061
CDCP1	0.473598244
CHRNA9	0.473824356
ZC3H13	0.473976267
KRTAP25-1	0.473976267
ZFYVE26	0.474320351
KIAA0020	0.474745316
GPR126	0.475243895
SIK3	0.475243895
MYH9	0.475243895
C14orf37	0.475296931
ADAMTS18	0.47535066
LENG9	0.475928545
OBSCN	0.476144166
OR51V1	0.476659816
VSX1	0.476659816
TMTC4	0.476664521
NLRP1	0.477658234
BRINP2	0.478072128
BBS2	0.478072128
CNBD2	0.478072128
GC	0.478530767
CSF1	0.478645839
PSTK	0.479345622
ART5	0.479480841
CD207	0.479628759
IL1A	0.480237723
PI3	0.480885961
CNTNAP4	0.481129021
STK31	0.482240865
C4orf27	0.482287499
SGCG	0.482287499
NOS2	0.482287499
OR4D1	0.482287499
ENTPD3	0.4829092
TFRC	0.482938657
IGF2R	0.483685463
NEIL3	0.483798076
SERPINF2	0.483798076
CEP295	0.485079861
TBX18	0.485142316
GTPBP3	0.485573394
SELL	0.486459832
SDC2	0.486470701
KLRC4-KLRK1,KLRK1	0.486470701
CD93	0.486709276
COL22A1	0.487258909
COMMD5	0.487258909
HLA-DRB1	0.487345452
MASP2	0.487857993
PYROXD2	0.487974316
ITGAX	0.487974316
ATF7IP	0.488119084
HTR3D	0.489241745
CCP110	0.489241745
SCN7A	0.489404023
TMC2	0.489404023
ASXL3	0.489738142
OR10A4	0.489997392
PDE5A	0.490621966
PAPPA	0.490879726
PCNT	0.491459524
KLHDC7A	0.491519912
GBE1	0.491761233
SLC24A1	0.491998663
RHOT2	0.492258964
MYO7B	0.492606468
IGDCC4	0.49352176
PLXND1	0.493684172
AKAP10	0.493684172
LRRD1	0.494396205
SKIL	0.494741523
KLK14	0.495107855
MIIP	0.495819121
OR1A2	0.495819121
IQCF1	0.496107702
SQRDL	0.496107702
ZBTB49	0.496156306
NOS1	0.496156306
ADAMTS13	0.496727984
OPN4	0.497240495
MGMT	0.497470391
ECT2L	0.497908485
CEP85L	0.498600328
OR5K4	0.4988296
EPB41L4A	0.499369636
CTSB	0.499369636
DNASE1	0.499657301
GUCA2A	0.500078565
METTL21A	0.500185336
ZNF839	0.500185336
KRT40	0.500682494
GLB1	0.5007871
PCDHB7	0.501093631
MPEG1	0.501402739
C2orf61	0.501537607
HELQ	0.502333515
CLEC1B	0.502338908
PIGM	0.502886423
EIF2AK4	0.502886423
CUEDC1	0.502886423
KHK	0.502910321
TSEN54	0.503144786
CAPG	0.503617262
CFAP53	0.503617262
TNFRSF11B	0.504205079
RDH8	0.504205079
CLEC4F	0.504323801
OR8D1	0.504323801
SPDL1	0.504883427
CRTC3	0.505448018
THEMIS	0.505751467
ADAMTS10	0.505751467
FAT1	0.506212481
DMBT1	0.50661865
PPL	0.506690004
ABCA13	0.50690734
EML1	0.507145907
MYSM1	0.507310637
OR10G2	0.508247294
WDR90	0.50855451
C1QTNF6	0.509171085
LIPA	0.509215047
LOXHD1	0.509258194
CEP72	0.510078789
IBSP	0.51041016
HJURP	0.510880864
SAMM50	0.511648247
CTLA4	0.512068781
ATP2C2	0.512068781
TMC7	0.512068781
MYO3A	0.512182362
CEACAM5	0.512232065
CALHM1	0.512664825
GOLGB1	0.513471565
GIN1	0.513525101
WDR36	0.513525101
SLC6A18	0.51372202
DAOA	0.514172325
TCEB3B	0.514315028
L3MBTL4	0.515572574
WFS1	0.515973637
NOX5	0.515973637
FAM71A	0.5161007
FAM228A	0.5161007
FAM65B	0.516186327
CHRNA2	0.516558996
HKDC1	0.516558996
ANKIB1	0.517207164
PARVB	0.517207164
TEX33	0.517497673
C22orf42	0.517823539
TEKT5	0.518367947
AKAP6	0.518386826
MAP4	0.518668425
ULK1	0.518668425
CCDC15	0.518805661
THSD7A	0.519391675
CABP5	0.519763051
ZNF749	0.519763051
LOC100996634	0.5201103
GIMAP2	0.5201103
TEX15	0.5201103
TIGD5	0.5201103
GBGT1	0.5201103
COL2A1	0.521411598
AP1G1	0.521411598
C19orf73	0.521411598
CERS5	0.521852446
SCN1A	0.522079741
NTAN1	0.522079741
PER2	0.522709562
OR10H3	0.523349984
ZBBX	0.523359056
LRRC38	0.523937898
ADAM8	0.524004202
FUT3	0.524004202
AGBL2	0.524586224
WDR1	0.52462894
CTSH	0.52462894
NLRP2	0.526019372
CNTLN	0.526323962
VEZT	0.526323962
CUL9	0.526583538
KRT15	0.526712307
OR4L1	0.527404794
CERS2	0.52786825
KIF16B	0.528788421
ANO9	0.528859804
CCDC69	0.528872673
KIAA1462	0.529021862
ARHGAP31	0.529149669
APBA3	0.529483911
SLC28A1	0.529551943
SEMA6C	0.530427803
SLC41A3	0.530427803
ANKRD2	0.530545888
TDRD6	0.530860477
BFAR	0.530860477
DNHD1	0.530897187
ANLN	0.531550254
CLCA1	0.53170266
FCRL5	0.53170266
MCM9	0.53170266
GLE1	0.53170266
DNAH6	0.532974247
NCEH1	0.533068273
ADAM7	0.533068273
GGT5	0.533068273
MYO10	0.533486559
SOWAHB	0.534745354
FAAH	0.535507645
FGB	0.535507645
PRR14L	0.535507645
IL12RB1	0.535582538
DCAF13	0.536188752
TMEM63A	0.53802806
ATXN1	0.53802806
SCAI	0.538088651
ACSBG2	0.538922205
PRMT6	0.539283419
FCAR	0.539283419
P2RY2	0.539754848
C15orf53	0.539754848
NUP160	0.540437132
VRK2	0.540475404
TRIM15	0.540586579
MCAT	0.540586579
RTP4	0.541648274
RSPH4A	0.541648274
CCM2	0.541784477
SERPINA10	0.541841492
CDH17	0.54285821
SLC52A3	0.543030192
ANKRD12	0.543887064
C2orf70	0.543904364
SEMA3F	0.54473152
SPATA22	0.546344192
NDUFV3	0.546607801
SBNO1	0.546748174
CHST5	0.546748174
TCN2	0.547083372
LUZP2	0.547286782
SCRIB	0.54796528
MROH9	0.54798114
TGM4	0.548012943
C3orf20	0.548568751
NCKAP5	0.548917468
RNF144A	0.549210937
EPHA10	0.550495832
ANGPTL4	0.550495832
ERCC2	0.55135048
KRT39	0.551661058
ZDBF2	0.551893485
SEC23IP	0.552134461
DZIP1L	0.552952384
ADAMTS8	0.552952384
CDH3	0.553375727
SEC14L3	0.553375727
ANXA13	0.553560894
TNC	0.553560894
SPG11	0.553692055
HGFAC	0.554098598
OR52L1	0.554098598
SLC44A4	0.554290937
FBN3	0.554494948
KIF19	0.555220826
LSS	0.555396534
GRB14	0.555400578
CPNE3	0.555400578
ATP13A5	0.555416288
TTC23L	0.555487736
GBP3	0.55668324
MYO18B	0.556878662
CDH5	0.557028051
ITIH5	0.557280504
ABCC2	0.557731452
ZKSCAN2	0.557731452
OR2V2	0.557877441
GSDMC	0.557877441
FAM161B	0.557877441
IFIH1	0.558083986
RBFA	0.559666284
ITGAM	0.560137806
SEMG1	0.560137806
ECM2	0.560857196
SLC13A1	0.561080379
YTHDC2	0.56133634
RBM33	0.56133634
LYSMD4	0.561432024
NUP214	0.561888034
WDR4	0.563081368
KRT72	0.563434783
DRC1	0.563724163
DIDO1	0.563724163
PLXDC2	0.564305362
KNDC1	0.564421935
CFAP44	0.564913465
FLVCR2	0.564913465
SULF2	0.564913465
SLC22A16	0.565109256
WLS	0.565432959
MATN2	0.565432959
TAF1C	0.565432959
KANSL1	0.565607491
KIAA1755	0.565684161
ZNF512B	0.566099705
TCF20	0.566099705
COQ6	0.56679169
KDELC1	0.567282891
DTNA	0.567282891
MYOM1	0.567328217
SLC26A8	0.567426527
FCN2	0.567515281
TTC39B	0.568090021
THBS4	0.568463028
SRRM2	0.568752998
PIP4K2A	0.569114576
NPAP1	0.569114576
GPR157	0.569640125
KRT84	0.569640125
DTHD1	0.569912804
PRAM1	0.569912804
ALOX12	0.570077401
PRDM16	0.57081419
PARP14	0.57081419
MADCAM1	0.57081419
RADIL	0.571506419
TRAPPC8	0.571506419
STIL	0.571514773
PPP1R9A	0.571514773
PML	0.571590325
OR2G2	0.571621899
SERPINB13	0.571985229
USP31	0.572692081
ISG15	0.572719972
PSMB1	0.572719972
PGM1	0.573096239
RCBTB1	0.573096239
NLRP7	0.57315325
TCEB2	0.573280211
TRIM5	0.57337931
TRDN	0.574426135
ZNF792	0.574455418
SLC35G2	0.574682258
INPP5F	0.574682258
HEPN1	0.574682258
KLRC4	0.574682258
ZNF146	0.574696414
GSTA2	0.575354178
PBLD	0.575480267
ALDH1B1	0.576011415
ASAP1	0.576801598
VSTM4	0.577324307
MYO19	0.577324307
HMCN1	0.577806211
SEMA3D	0.577842874
SMTNL2	0.577842874
PPA2	0.578557501
STRN3	0.578557501
HEG1	0.578772299
OR13J1	0.579289672
OR5T2	0.579417459
AMZ2	0.579417459
FNDC8	0.579417459
COL4A4	0.579763107
FZD6	0.579856189
TAF1B	0.579887295
CACNA1S	0.579943731
STH	0.580098403
UGT2B15	0.580310181
TAS2R16	0.580988221
ZFP64	0.581245501
C6orf10	0.581480009
SMCR8	0.583101395
CASP8	0.583337186
AP5B1	0.583337186
SLC9C2	0.583530824
GPR20	0.583530824
TMEM214	0.584118258
GART	0.584118258
NUPL1	0.584387107
TRIM22	0.585156942
ZNF879	0.585804365
LMF2	0.585804365
NRAP	0.586408407
VDR	0.586454863
ACTRT2	0.586936734
AKAP13	0.587950752
TAF4B	0.588009214
BEST1	0.58806618
NBN	0.589558865
TBCD	0.589602457
UBE2O	0.589690173
CCDC129	0.590316326
LRIT2	0.590316326
TRAF3	0.590316326
XKR3	0.5903356
GOT2	0.591104662
NXPE4	0.591910716
MTSS1	0.592554861
HHATL	0.592911837
XPC	0.593062589
GRIN3A	0.593062589
HHLA2	0.593416124
HERC5	0.593416124
FGL1	0.593416124
XYLT2	0.593637959
LOXL2	0.593669791
KIAA1024	0.593669791
C18orf21	0.593669791
LIFR	0.59478184
NAA38	0.59478184
TRDMT1	0.594787561
KIF15	0.594915316
2-Mar	0.59495227
GRIN3B	0.595236618
STPG2	0.595479275
FXYD5	0.595718892
LRP1B	0.595891014
SGK223	0.59625268
LITAF	0.59699732
PIGB	0.597249235
CCDC88B	0.597654899
ZNF529	0.598012954
TXNRD2	0.598037864
LRRFIP1	0.598100765
ADGB	0.598100765
ZNF804B	0.598100765
KNG1	0.598925273
SIGLEC5	0.599370699
TTC4	0.599941861
ALG6	0.600298298
CD101	0.600298298
FAM71F1	0.600298298
NMS	0.6002991
ACACB	0.6002991
OTOL1	0.600512636
ZIM3	0.600512636
AP4B1	0.601058139
AKNA	0.601318887
IL19	0.601394004
MEIOB	0.601394004
TNFSF12-TNFSF13,TNFSF13	0.601394004
TCTEX1D1	0.60181701
C5orf22	0.60181701
PLEKHN1	0.601859048
NPEPL1	0.602493954
OR6F1	0.603575321
SSTR5	0.603929118
OR52R1	0.604087797
ARHGEF37	0.604316935
BIVM-ERCC5,ERCC5	0.604661746
VASN	0.604661746
CYBRD1	0.604842782
CLEC3B	0.605027956
C17orf80	0.605064816
IKBKE	0.60574536
PPFIA1	0.60574536
PLA2G4C	0.60574536
CFAP97	0.606198941
CLC	0.606349835
NOTCH4	0.606765411
VWA2	0.606765411
ANAPC4	0.606826168
CDC42BPA	0.607101902
CD226	0.607897165
PSAPL1	0.607904176
FBXO24	0.607904176
CCDC180	0.608603115
NID2	0.608603115
ESF1	0.608603115
GAL3ST1	0.608603115
CAPN14	0.608979394
CLCA2	0.609352261
CPA5	0.610051826
SIGLEC6	0.610696379
IL23R	0.61071959
PRRG2	0.611121479
OR2C3	0.612188361
COG1	0.612970327
TNK2	0.613252479
OR3A3	0.613252479
ZNF573	0.613252479
VAV2	0.61409328
ZNF565	0.61409328
DNAH1	0.614313838
ANXA11	0.61444968
SMCHD1	0.614465714
ERAP2	0.61465415
LGALS3	0.615073223
EIF2AK3	0.615310317
APOL5	0.61569619
RAB17	0.616428309
ST3GAL5	0.616428309
NT5E	0.616790068
MACC1	0.616893573
CPAMD8	0.616893573
RPS6KA1	0.617481435
OR4B1	0.617481435
TMC3	0.617481435
SHANK1	0.617481435
ANKDD1A	0.617528478
EPPK1	0.618360833
SDC3	0.619579498
POLR1E	0.619579498
ASB18	0.619683674
ASPRV1	0.619683674
OR10P1	0.620240464
DLEC1	0.620472339
TARSL2	0.62062445
DMXL2	0.620796843
VAV3	0.621205858
NUCB2	0.621205858
PLCG1	0.621352809
ADAMTS14	0.621666691
ACIN1	0.621894083
AXIN2	0.622463502
ST3GAL3	0.622669961
FREM1	0.622789154
DFNB31	0.622845876
MEP1A	0.623126695
KIF7	0.623126695
MMEL1	0.623400544
TSTD2	0.623400544
COL4A1	0.623400544
ATP8B3	0.623400544
SLC30A9	0.623743064
GABRP	0.623743064
FNDC1	0.623743064
ADAT1	0.623743064
METTL13	0.624858771
PSD4	0.624971236
CRISPLD2	0.625373394
OR51G1	0.625584914
TICRR	0.625584914
KIAA0141	0.62631308
IPO4	0.62631308
DNAJC13	0.626337853
OR5R1	0.626404813
CLCN1	0.626810511
MRGPRE	0.626889664
KIAA1586	0.627863567
C17orf70	0.628487194
FAM175A	0.628644503
ADCY10	0.629864222
ANKRD35	0.629864222
HIVEP3	0.629907801
STARD9	0.629907801
ELTD1	0.629931701
P2RX7	0.630409993
RNF207	0.630652484
IFIT2	0.630652484
MOB3C	0.630740569
OR11H6	0.63128901
RASGRP4	0.631372286
FEZ2	0.631689377
SLC17A3	0.631941426
IFI44L	0.632091107
PLEKHG7	0.632384621
NEK9	0.632384621
GLI3	0.632903191
ECE2	0.632954276
COL4A2	0.632954276
ULK3	0.633509209
KRT77	0.633525807
TSEN15	0.634956582
SACM1L	0.634956582
ZC2HC1C	0.635116202
C12orf71	0.635661238
PLA2G4F	0.635670497
CDHR2	0.635977056
DNAH8	0.636205845
ADAMTSL3	0.636654903
STRA6	0.637979165
KRT82	0.638922435
C3orf33	0.638976315
LY9	0.639536697
CCDC175	0.639536697
BBS4	0.63993338
C3orf17	0.639970871
PCDHB12	0.640640425
RCAN3	0.641628233
NEDD4	0.641952224
PARL	0.642168092
EHBP1L1	0.642168092
ACCSL	0.642939035
ART1	0.643458789
NXPE1	0.643458789
ERBB2	0.643923276
REV1	0.644238763
ANO5	0.644315652
ARHGEF28	0.644613477
EPHA8	0.644862081
PPP1R15A	0.644862081
TRAF3IP2	0.644904955
MACROD2	0.644904955
SLC39A2	0.645562254
FSTL4	0.645884077
KANK1	0.645884077
GRXCR2	0.646690701
EGFLAM	0.64686065
C9orf131	0.64686065
TJP2	0.64686065
LACC1	0.64686065
PIM3	0.64686065
RPP21,TRIM39-RPP21	0.647656885
A4GALT	0.647656885
INPP4A	0.647834678
ADAMTS5	0.647834678
TRIML1	0.648077717
CPS1	0.648165488
BARD1	0.648256314
OR6N1	0.648465651
ACAT2	0.648465651
ALX4	0.648612323
HYDIN	0.649048398
KLK1	0.649645927
THADA	0.649742682
ALOXE3	0.649775127
DHDH	0.649775127
C7orf31	0.650256686
LPCAT2	0.650435985
CEP19	0.651128307
LETMD1	0.651128307
CYBA	0.651819647
SLC6A12	0.652342179
C1orf27	0.652510006
SLC37A2	0.652510006
TCHH	0.653172201
KIAA0226L	0.653887782
LHCGR	0.654927132
SIRPG	0.655232849
NCOA7	0.655521867
ARRDC4	0.655521867
UTRN	0.655536068
ANKRD30A	0.656223803
FAM154A	0.656487479
LOXL4	0.656631563
UTP14C	0.656631563
CACTIN	0.656676578
EIF2A	0.657315057
OR1A1	0.657632716
IL22RA1	0.657839822
CFTR	0.657839822
UHRF1BP1	0.657997571
FBXO34	0.658420528
FRMD4B	0.659326846
KCNH5	0.660039231
NT5C3B	0.660268366
RPAP1	0.661832816
FGFR4	0.662072074
ABCC12	0.662144037
MUM1	0.662144037
NEU2	0.662355795
COX10	0.662355795
PIGC	0.662468316
CCDC109B	0.662468316
ANKLE2	0.662468316
KLHDC4	0.662747729
PRR4	0.663044117
GZF1	0.663044117
SLIT3	0.66392201
MYLIP	0.66392201
PRG4	0.664096103
SULT1C4	0.664939215
PCM1	0.664939215
NEURL4	0.664939215
ACKR1	0.665341172
ST6GALNAC3	0.665913897
EPX	0.666781107
IDO2	0.667560577
C10orf120	0.667712543
BAG6	0.668078545
SEMA6D	0.66811774
INMT	0.668523803
HHAT	0.668632158
LRRN2	0.668632158
BTC	0.668632158
SLC16A7	0.668632158
OR10G3	0.668784591
NLRC5	0.668784591
SCAF11	0.669113106
LRIG1	0.669450464
A2M	0.669450464
SYNJ2	0.669629698
CSNK1A1L	0.669629698
TMEM132C	0.670051223
ZNF469	0.670145832
MCM10	0.670464181
OR52N2	0.671040651
LYRM4	0.671376602
PELP1	0.671376602
DNAH7	0.671442221
KCNK15	0.672205763
COL9A2	0.673194289
HEXB	0.673194289
CFAP52	0.673194289
CRNKL1;CRNKL1	0.673867197
CEP112	0.674099568
JMJD1C	0.674293652
TTC21A	0.675399379
OR8U1	0.676055492
LIPC	0.676055492
HOMEZ	0.676117267
LY75,LY75-CD302	0.67621675
MAP9	0.67621675
ACTR5	0.676678231
ZNF680	0.677697055
USP45	0.677798294
COL14A1	0.677832442
FAM135B	0.678341173
ACTL9	0.678849437
FAM160A2	0.678915868
ARHGEF25	0.678915868
TRAP1	0.678915868
KCNQ4	0.679481702
ADCY2	0.679481702
ESPL1	0.679971713
SDC4	0.679971713
H2AFV	0.68062101
KRI1	0.681011106
TYR	0.681269334
UTS2	0.681698901
FAM188B	0.682394216
ACD	0.682394216
